,id,keywords
23,436270,"[{'id': 952, 'name': 'lightning'}, {'id': 2095, 'name': 'anti hero'}, {'id': 9715, 'name': 'superhero'}, {'id': 9717, 'name': 'based on comic'}, {'id': 15001, 'name': 'demon'}, {'id': 155030, 'name': 'superhero team'}, {'id': 179431, 'name': 'duringcreditsstinger'}, {'id': 229266, 'name': 'dc extended universe (dceu)'}]"
24,1131438,"[{'id': 160130, 'name': 'invisible person'}, {'id': 271162, 'name': 'invisible man'}]"
25,713704,"[{'id': 380, 'name': 'sibling relationship'}, {'id': 3521, 'name': 'earthquake'}, {'id': 3725, 'name': 'pregnancy'}, {'id': 9663, 'name': 'sequel'}, {'id': 10292, 'name': 'gore'}, {'id': 12670, 'name': 'los angeles, california'}, {'id': 15001, 'name': 'demon'}, {'id': 156075, 'name': 'evil'}, {'id': 157466, 'name': 'necronomicon'}, {'id': 161184, 'name': 'reboot'}, {'id': 161261, 'name': 'demonic possession'}, {'id': 176227, 'name': 'motherhood'}, {'id': 210281, 'name': 'sisterhood'}, {'id': 241738, 'name': 'sister sister relationship'}, {'id': 283085, 'name': 'body horror'}, {'id': 286239, 'name': 'apartment'}]"
26,868759,"[{'id': 591, 'name': 'cia'}, {'id': 4289, 'name': 'secret agent'}, {'id': 9673, 'name': 'love'}, {'id': 10364, 'name': 'mission'}, {'id': 282758, 'name': 'spies'}]"
27,447277,"[{'id': 4344, 'name': 'musical'}, {'id': 5938, 'name': 'mermaid'}, {'id': 179411, 'name': 'based on fairy tale'}, {'id': 245230, 'name': 'live action remake'}]"
28,315162,"[{'id': 3205, 'name': 'fairy tale'}, {'id': 11478, 'name': 'talking dog'}, {'id': 15285, 'name': 'spin off'}, {'id': 179430, 'name': 'aftercreditsstinger'}, {'id': 188748, 'name': 'talking cat'}, {'id': 227812, 'name': 'fear of death'}]"
29,324857,"[{'id': 9715, 'name': 'superhero'}, {'id': 9717, 'name': 'based on comic'}, {'id': 179430, 'name': 'aftercreditsstinger'}, {'id': 245157, 'name': 'alternate universe'}]"
30,605886,"[{'id': 613, 'name': ""new year's eve""}, {'id': 1583, 'name': 'mass murder'}, {'id': 1812, 'name': 'fbi'}, {'id': 5340, 'name': 'investigation'}, {'id': 11547, 'name': 'slaughterhouse'}, {'id': 239258, 'name': 'mass killing'}, {'id': 254921, 'name': 'homicide investigation'}, {'id': 273310, 'name': 'federal bureau of investigation'}, {'id': 314349, 'name': 'baltimore, maryland'}]"
31,597,"[{'id': 793, 'name': 'drowning'}, {'id': 2227, 'name': 'evacuation'}, {'id': 2580, 'name': 'shipwreck'}, {'id': 2984, 'name': 'iceberg'}, {'id': 3691, 'name': 'forbidden love'}, {'id': 3799, 'name': 'ship'}, {'id': 4210, 'name': 'panic'}, {'id': 4388, 'name': 'titanic'}, {'id': 4953, 'name': 'ocean liner'}, {'id': 6917, 'name': 'epic'}, {'id': 7579, 'name': 'rich woman poor man'}, {'id': 9672, 'name': 'based on true story'}, {'id': 9673, 'name': 'love'}, {'id': 10614, 'name': 'tragedy'}, {'id': 10617, 'name': 'disaster'}, {'id': 10703, 'name': 'tragic love'}, {'id': 12995, 'name': 'historical fiction'}, {'id': 14514, 'name': 'class differences'}, {'id': 14720, 'name': 'love affair'}, {'id': 159289, 'name': 'historical event'}, {'id': 163000, 'name': 'lifeboat'}, {'id': 165086, 'name': 'star crossed lovers'}, {'id': 180100, 'name': 'sinking ship'}, {'id': 182615, 'name': 'steerage'}, {'id': 182625, 'name': 'rich snob'}, {'id': 189411, 'name': 'disaster movie'}, {'id': 210184, 'name': '1910s'}, {'id': 214762, 'name': 'sunken ship'}]"
32,986070,"[{'id': 3544, 'name': 'machete'}, {'id': 9663, 'name': 'sequel'}, {'id': 9748, 'name': 'revenge'}, {'id': 9826, 'name': 'murder'}, {'id': 10292, 'name': 'gore'}, {'id': 10738, 'name': 'diner'}, {'id': 15162, 'name': 'dog'}, {'id': 284439, 'name': 'blood'}, {'id': 317605, 'name': 'terrorists'}]"
33,569094,"[{'id': 2858, 'name': 'sacrifice'}, {'id': 3289, 'name': 'villain'}, {'id': 5451, 'name': 'comic book'}, {'id': 9663, 'name': 'sequel'}, {'id': 9715, 'name': 'superhero'}, {'id': 9717, 'name': 'based on comic'}, {'id': 9820, 'name': 'alternate dimension'}, {'id': 18095, 'name': 'alternate version'}, {'id': 33637, 'name': 'super power'}, {'id': 41523, 'name': 'brooklyn, new york city'}, {'id': 155030, 'name': 'superhero team'}, {'id': 158124, 'name': 'spider bite'}, {'id': 163074, 'name': 'super villain'}, {'id': 175102, 'name': 'cliffhanger'}, {'id': 213104, 'name': 'teen superhero'}, {'id': 245157, 'name': 'alternate universe'}, {'id': 272493, 'name': 'female superhero'}, {'id': 311333, 'name': 'cartoon spider'}]"
34,647250,"[{'id': 13116, 'name': 'one man army'}, {'id': 181094, 'name': 'nickname'}]"
