genre_ids,id,original_language,overview,popularity,release_date,title,vote_average,vote_count,genres
"[28, 80, 14]",503736,en,"Following a zombie outbreak in Las Vegas, a group of mercenaries take the ultimate gamble: venturing into the quarantine zone to pull off the greatest heist ever attempted.",44.118,2021-05-14,Army of the Dead,6.3,3548,"Action, Crime, Fantasy"
"[28, 18, 36]",617653,en,"King Charles VI declares that Knight Jean de Carrouges settle his dispute with his squire, Jacques Le Gris, by challenging him to a duel.",44.115,2021-10-13,The Last Duel,7.5,2829,"Action, Drama, History"
"[18, 28, 36]",359724,en,"American car designer Carroll Shelby and the British-born driver Ken Miles work together to battle corporate interference, the laws of physics, and their own personal demons to build a revolutionary race car for Ford Motor Company and take on the dominating race cars of Enzo Ferrari at the 24 Hours of Le Mans in France in 1966.",44.115,2019-11-13,Ford v Ferrari,8.0,6718,"Drama, Action, History"
"[18, 53, 80]",146233,en,"Keller Dover faces a parent's worst nightmare when his 6-year-old daughter, Anna, and her friend go missing. The only lead is an old motorhome that had been parked on their street. The head of the investigation, Detective Loki, arrests the driver, but a lack of evidence forces Loki to release his only suspect. Dover, knowing that his daughter's life is at stake, decides that he has no choice but to take matters into his own hands.",42.115,2013-09-18,Prisoners,8.1,10463,"Drama, Thriller, Crime"
"[28, 14, 878]",9823,en,"A group of heroic warriors has only six days to save the planet in ""Mortal Kombat Annihilation."" To succeed they must survive the most spectacular series of challenges any human, or god, has ever encountered as they battle an evil warlord bent on taking control of Earth.",43.996,1997-11-11,Mortal Kombat: Annihilation,4.5,1031,"Action, Fantasy, Science Fiction"
"[27, 9648, 53]",811656,en,"Laura, traumatized by an abusive relationship, runs away from her former husband with her seven-year-old son Cody. But in their new, idyllic and remote sanctuary, they find they have another, bigger and more terrifying monster to deal with…",43.97,2022-05-13,Monstrous,6.1,238,"Horror, Mystery, Thriller"
"[28, 12, 18, 10751]",38575,en,"Twelve-year-old Dre Parker could have been the most popular kid in Detroit, but his mother's latest career move has landed him in China. Dre immediately falls for his classmate Mei Ying but the cultural differences make such a friendship impossible. Even worse, Dre's feelings make him an enemy of the class bully, Cheng. With no friends in a strange land, Dre has nowhere to turn but maintenance man Mr. Han, who is a kung fu master. As Han teaches Dre that kung fu is not about punches and parries, but maturity and calm, Dre realizes that facing down the bullies will be the fight of his life.",43.886,2010-06-10,The Karate Kid,6.5,5442,"Action, Adventure, Drama, Family"
"[80, 18, 28]",101,en,"Léon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Léon's footsteps.",43.882,1994-09-14,Léon: The Professional,8.3,13355,"Crime, Drama, Action"
[18],872516,en,"A disconnected teenage girl enters a relationship with a man twice her age. She sees him as the solution to all her problems, but his intentions are not what they seem.",43.746,2023-03-03,Palm Trees and Power Lines,6.3,19,Drama
[53],597208,en,An ambitious carnival man with a talent for manipulating people with a few well-chosen words hooks up with a female psychologist who is even more dangerous than he is.,34.594,2021-12-02,Nightmare Alley,7.0,2426,Thriller
"[10751, 14]",668461,en,"A young girl discovers a secret map to the dreamworld of Slumberland, and with the help of an eccentric outlaw, she traverses dreams and flees nightmares, with the hope that she will be able to see her late father again.",43.711,2022-11-18,Slumberland,7.5,674,"Family, Fantasy"
"[80, 28, 53]",189,en,Some of Sin City's most hard-boiled citizens cross paths with a few of its more reviled inhabitants.,43.687,2014-08-20,Sin City: A Dame to Kill For,6.4,3461,"Crime, Action, Thriller"
[35],291870,en,"Jason Kelly is one week away from marrying his boss's uber-controlling daughter, putting him on the fast track for a partnership at the law firm. However, when the straight-laced Jason is tricked into driving his foul-mouthed grandfather, Dick, to Daytona for spring break, his pending nuptials are suddenly in jeopardy. Between riotous frat parties, bar fights, and an epic night of karaoke, Dick is on a quest to live his life to the fullest and bring Jason along for the ride.",43.679,2016-01-20,Dirty Grandpa,5.9,4063,Comedy
"[53, 80]",161,en,"Less than 24 hours into his parole, charismatic thief Danny Ocean is already rolling out his next plan: In one night, Danny's hand-picked crew of specialists will attempt to steal more than $150 million from three Las Vegas casinos. But to score the cash, Danny risks his chances of reconciling with ex-wife, Tess.",43.585,2001-12-07,Ocean's Eleven,7.4,10563,"Thriller, Crime"
"[16, 28, 35, 10751]",324849,en,"A cooler-than-ever Bruce Wayne must deal with the usual suspects as they plan to rule Gotham City, while discovering that he has accidentally adopted a teenage orphan who wishes to become his sidekick.",43.575,2017-02-08,The Lego Batman Movie,7.2,4478,"Animation, Action, Comedy, Family"
"[27, 9648]",55779,en,"In this fifth installment, Death is just as omnipresent as ever, and is unleashed after one man’s premonition saves a group of coworkers from a terrifying suspension bridge collapse. But this group of unsuspecting souls was never supposed to survive, and, in a terrifying race against time, the ill-fated group frantically tries to discover a way to escape Death’s sinister agenda.",43.557,2011-08-12,Final Destination 5,6.1,3021,"Horror, Mystery"
"[28, 53]",117263,en,"When the White House (Secret Service Code: ""Olympus"") is captured by a terrorist mastermind and the President is kidnapped, disgraced former Presidential guard Mike Banning finds himself trapped within the building. As the national security team scrambles to respond, they are forced to rely on Banning's inside knowledge to help retake the White House, save the President and avert an even bigger disaster.",43.553,2013-03-20,Olympus Has Fallen,6.4,6112,"Action, Thriller"
"[27, 9648, 53]",807356,en,"As a serial killer stalks the city, Julia — a young actress who just moved to town with her husband — notices a mysterious stranger watching her from across the street.",43.535,2022-06-03,Watcher,6.6,566,"Horror, Mystery, Thriller"
"[28, 80, 53]",747803,en,"On the run with a bag full of cash after a robbing his former crime boss—and a potentially fatal wound—Freddy slips onto a bus headed into the unrelenting California desert. With his life slipping through his fingers, Freddy is left with very few choices to survive.",39.091,2022-09-02,One Way,6.2,106,"Action, Crime, Thriller"
[35],296099,en,"Hoping to bring his family closer together and to recreate his childhood vacation for his own kids, a grown up Rusty Griswold takes his wife and their two sons on a cross-country road trip to the coolest theme park in America, Walley World. Needless to say, things don't go quite as planned.",43.498,2015-07-28,Vacation,6.3,3411,Comedy
"[27, 14, 53]",928015,en,"Detective Amelia Van Helsing is on the desperate hunt for the killer responsible for a string of grisly murders targeting young women. Matters only worsen when all evidence leads to the seemingly untouchable Count Dracula. And when Van Helsing’s girlfriend vanishes, she is forced to question the very existence of monsters in a final showdown with the enigmatic count.",35.747,2022-01-28,Dracula: The Original Living Vampire,5.4,73,"Horror, Fantasy, Thriller"
"[28, 12]",184315,en,"Fourteen hundred years ago, a tormented soul walked the earth that was neither man nor god. Hercules was the powerful son of the god king Zeus, for this he received nothing but suffering his entire life. After twelve arduous labors and the loss of his family, this dark, world-weary soul turned his back on the gods finding his only solace in bloody battle. Over the years he warmed to the company of six similar souls, their only bond being their love of fighting and presence of death. These men and woman never question where they go to fight or why or whom, just how much they will be paid. Now the King of Thrace has hired these mercenaries to train his men to become the greatest army of all time. It is time for this bunch of lost souls to finally have their eyes opened to how far they have fallen when they must train an army to become as ruthless and blood thirsty as their reputation has become.",42.276,2014-07-23,Hercules,5.8,3759,"Action, Adventure"
"[16, 12, 10751, 14, 35, 28]",49519,en,"The prehistoric Croods family live in a particularly dangerous moment in time. Patriarch Grug, his mate Ugga, teenage daughter Eep, son Thunk, and feisty Gran gather food by day and huddle together in a cave at night. When a more evolved caveman named Guy arrives on the scene, Grug is distrustful, but it soon becomes apparent that Guy is correct about the impending destruction of their world.",43.434,2013-03-15,The Croods,6.9,6482,"Animation, Adventure, Family, Fantasy, Comedy, Action"
"[878, 12, 28, 53]",72559,en,"Framed for crimes against the country, the G.I. Joe team is terminated by Presidential order. This forces the G.I. Joes into not only fighting their mortal enemy Cobra; they are forced to contend with threats from within the government that jeopardize their very existence.",43.394,2013-03-27,G.I. Joe: Retaliation,5.6,5132,"Science Fiction, Adventure, Action, Thriller"
"[878, 18]",185,en,"In a near-future Britain, young Alexander DeLarge and his pals get their kicks beating and raping anyone they please. When not destroying the lives of others, Alex swoons to the music of Beethoven. The state, eager to crack down on juvenile crime, gives an incarcerated Alex the option to undergo an invasive procedure that'll rob him of all personal agency. In a time when conscience is a commodity, can Alex change his tune?",43.384,1971-12-19,A Clockwork Orange,8.2,11686,"Science Fiction, Drama"
"[16, 28, 35, 10751, 878]",38055,en,"After Megamind, a highly intelligent alien supervillain, defeats his long-time nemesis Metro Man, Megamind creates a new hero to fight, but must act to save the city when his ""creation"" becomes an even worse villain than he was.",43.361,2010-10-28,Megamind,7.0,6164,"Animation, Action, Comedy, Family, Science Fiction"
"[12, 28, 53, 878]",604,en,"Six months after the events depicted in The Matrix, Neo has proved to be a good omen for the free humans, as more and more humans are being freed from the matrix and brought to Zion, the one and only stronghold of the Resistance.  Neo himself has discovered his superpowers including super speed, ability to see the codes of the things inside the matrix and a certain degree of pre-cognition. But a nasty piece of news hits the human resistance: 250,000 machine sentinels are digging to Zion and would reach them in 72 hours. As Zion prepares for the ultimate war, Neo, Morpheus and Trinity are advised by the Oracle to find the Keymaker who would help them reach the Source.  Meanwhile Neo's recurrent dreams depicting Trinity's death have got him worried and as if it was not enough, Agent Smith has somehow escaped deletion, has become more powerful than before and has fixed Neo as his next target.",43.339,2003-05-15,The Matrix Reloaded,7.0,9925,"Adventure, Action, Thriller, Science Fiction"
[27],764,en,Five vacationing college students unwittingly resurrect demonic spirits through the Book of the Dead. Now there is no escape. The guilty must be punished.,43.335,1981-09-10,The Evil Dead,7.3,3462,Horror
"[10752, 28]",542196,en,"Inspired by the real-life German special operations unit KG 200 that shot down, repaired, and flew Allied aircraft as Trojan horses, ""Wolf Hound"" takes place in 1944 German-occupied France and follows the daring exploits of Jewish-American fighter pilot Captain David Holden. Ambushed behind enemy lines, Holden must rescue a captured B-17 Flying Fortress crew, evade a ruthless enemy stalking him at every turn, and foil a plot that could completely alter the outcome of World War II.",44.344,2022-06-03,Wolf Hound,6.6,85,"War, Action"
"[18, 10749]",666277,en,"Two childhood friends are separated after one’s family emigrates from South Korea. Two decades later, they are reunited in New York for one week as they confront notions of destiny, love, and the choices that make a life.",43.291,2023-06-02,Past Lives,7.6,8,"Drama, Romance"
